id,Question,Focus area,Type,Status,Discussion,Upvotes,In Part 1
dialog_element,"<dialog> ",Interactivity,HTML element,Stable,https://github.com/Devographics/surveys/discussions/158,70,Yes
custom_elements_using,Using Custom Elements,Consuming Web Components,HTML element,Stable,https://github.com/Devographics/surveys/discussions/154,67,Yes
popover_api,"Popover API

<div popover> ",Interactivity,"HTML attribute,JS API,CSS",Cutting Edge,https://github.com/Devographics/surveys/discussions/138,65,Yes
form_validation,Form validation,Forms & Editing,JS API,Stable,https://github.com/Devographics/surveys/discussions/120,61,If no sentiment chips
lazy_loading,Lazy loading,Performance,JS API,Stable,https://github.com/Devographics/surveys/discussions/141,58,Yes
selectmenu,"<selectmenu> ",Forms & Editing,HTML element,Future,https://github.com/Devographics/surveys/discussions/95,52,Yes
shadow_dom,Shadow DOM,Making Web Components,Other,Stable,https://github.com/Devographics/surveys/discussions/156,52,Yes
breadcrumb,"<breadcrumb> ",Semantic HTML,HTML element,Future,https://github.com/Devographics/surveys/discussions/116,50,No
picture_element,<picture> element,Multimedia,HTML element,Stable,https://github.com/Devographics/surveys/discussions/122,47,If no sentiment chips
slot_def,"Defining slots (<slot> and ::slotted() ) ",Making Web Components,HTML element,Stable,https://github.com/Devographics/surveys/discussions/129,45,Likely Yes
svg_element,"<svg> ",Embedding,HTML element,Stable,https://github.com/Devographics/surveys/discussions/125,45,If no sentiment chips
details_element,"<details> / <summary> ",Interactivity,HTML element,Stable,https://github.com/Devographics/surveys/discussions/128,44,Likely Yes
aria,ARIA,ARIA & Accessibility APIs,HTML attribute,Stable,https://github.com/Devographics/surveys/discussions/114,40,If no sentiment chips
respimg,srcset and sizes attributes,Multimedia,HTML attribute,Stable,https://github.com/Devographics/surveys/discussions/123,40,Likely Yes
inert,inert  attribute,Interactivity,HTML attribute,Recent,https://github.com/Devographics/surveys/discussions/139,40,Yes
host_css,"Styling component host (:host, :host(), :host-context())",Making Web Components,CSS,Stable,https://github.com/Devographics/surveys/discussions/149,38,Maybe
declarative_shadow,"Declarative Shadow DOM

<template shadowrootmode=""open""> ",Making Web Components,HTML attribute,Cutting Edge,https://github.com/Devographics/surveys/discussions/100,36,Yes
autocomplete,"autocomplete=""hint""",Forms & Editing,HTML attribute value,Mixed,https://github.com/Devographics/surveys/discussions/162,36,Yes
search_element,"<search> ","Semantic HTML,ARIA & Accessibility APIs",HTML element,Future,https://github.com/Devographics/surveys/discussions/130,35,If no sentiment chips
fetchpriority,Fetch Priority API (fetchpriority attribute),"Performance,Embedding,Multimedia",HTML attribute,Cutting Edge,https://github.com/Devographics/surveys/discussions/137,34,Yes
part_selector,"::part() ",Consuming Web Components,CSS,Stable,https://github.com/Devographics/surveys/discussions/148,33,Maybe
template_element,<template> element,Templating,HTML element,Stable,https://github.com/Devographics/surveys/discussions/96,32,Likely Yes
portal_element,"<portal> ",Embedding,HTML element,Near Future,https://github.com/Devographics/surveys/discussions/103,30,Yes
pwa_manifest,PWA manifest,Bridging the gap with native,Other,Stable,https://github.com/Devographics/surveys/discussions/119,27,Yes
showpicker,"input.showPicker() ",Forms & Editing,JS API,Cutting Edge,https://github.com/Devographics/surveys/discussions/153,27,Yes
tabindex,tabindex attribute,ARIA & Accessibility APIs,HTML attribute,Stable,https://github.com/Devographics/surveys/discussions/113,26,If no sentiment chips
csp,Content-Security Policy (CSP),Security & Privacy,HTTP,Stable,https://github.com/Devographics/surveys/discussions/151,26,Likely Yes
